Greatest eclipse time,Eclipse type
2025 Mar 14 06:59:56,Total
2025 Sep 07 18:12:58,Total
2026 Mar 03 11:34:52,Total
2026 Aug 28 04:14:04,Partial
2027 Feb 20 23:14:06,Penumbral
2027 Jul 18 16:04:09,Penumbral
2027 Aug 17 07:14:59,Penumbral
2028 Jan 12 04:14:13,Partial
2028 Jul 06 18:20:57,Partial
2028 Dec 31 16:53:15,Total
2029 Jun 26 03:23:22,Total
2029 Dec 20 22:43:12,Total
2030 Jun 15 18:34:34,Partial
2030 Dec 09 22:28:51,Penumbral
2031 May 07 03:52:02,Penumbral
2031 Jun 05 11:45:17,Penumbral
2031 Oct 30 07:46:45,Penumbral
2032 Apr 25 15:14:51,Total
2032 Oct 18 19:03:40,Total
2033 Apr 14 19:13:51,Total
2033 Oct 08 10:56:23,Total
2034 Apr 03 19:06:59,Penumbral
2034 Sep 28 02:47:37,Partial
2035 Feb 22 09:06:12,Penumbral
2035 Aug 19 01:12:15,Partial
2036 Feb 11 22:13:06,Total
2036 Aug 07 02:52:32,Total
2037 Jan 31 14:01:38,Total
2037 Jul 27 04:09:53,Partial
2038 Jan 21 03:49:52,Penumbral
2038 Jun 17 02:45:02,Penumbral
2038 Jul 16 11:35:56,Penumbral
2038 Dec 11 17:44:59,Penumbral
2039 Jun 06 18:54:25,Partial
2039 Nov 30 16:56:28,Partial
2040 May 26 11:46:22,Total
2040 Nov 18 19:04:41,Total
2041 May 16 00:43:03,Partial
2041 Nov 08 04:35:05,Partial
2042 Apr 05 14:30:11,Penumbral
2042 Sep 29 10:45:47,Penumbral
2043 Mar 25 14:32:04,Total
2043 Sep 19 01:51:50,Total
2044 Mar 13 19:38:33,Total
2044 Sep 07 11:20:44,Total
2045 Mar 03 07:43:26,Penumbral
2045 Aug 27 13:54:50,Penumbral
2046 Jan 22 13:02:37,Partial
2046 Jul 18 01:06:05,Partial
2047 Jan 12 01:26:14,Total
2047 Jul 07 10:35:45,Total
2048 Jan 01 06:53:55,Total
2048 Jun 26 02:02:28,Partial
2048 Dec 20 06:27:48,Penumbral
2049 May 17 11:26:39,Penumbral
2049 Jun 15 19:14:12,Penumbral
2049 Nov 09 15:52:11,Penumbral
2050 May 06 22:32:02,Total
2050 Oct 30 03:21:47,Total
2051 Apr 26 02:16:28,Total
2051 Oct 19 19:11:50,Total
2052 Apr 14 02:18:06,Penumbral
2052 Oct 08 10:45:58,Partial
2053 Mar 04 17:22:10,Penumbral
2053 Aug 29 08:05:50,Penumbral
2054 Feb 22 06:51:27,Total
2054 Aug 18 09:26:30,Total
2055 Feb 11 22:46:17,Total
2055 Aug 07 10:53:18,Partial
2056 Feb 01 12:26:06,Penumbral
2056 Jun 27 10:03:09,Penumbral
2056 Jul 26 18:43:24,Penumbral
2056 Dec 22 01:48:56,Penumbral
2057 Jun 17 02:26:20,Partial
2057 Dec 11 00:53:38,Partial
2058 Jun 06 19:15:48,Total
2058 Nov 30 03:16:18,Total
2059 May 27 07:55:35,Partial
2059 Nov 19 13:01:36,Partial
2060 Apr 15 21:37:04,Penumbral
2060 Oct 09 18:53:32,Penumbral
2060 Nov 08 04:04:15,Penumbral
2061 Apr 04 21:54:05,Total
2061 Sep 29 09:38:13,Total
2062 Mar 25 03:33:50,Total
2062 Sep 18 18:34:02,Total
2063 Mar 14 16:05:49,Partial
2063 Sep 07 20:41:12,Penumbral
2064 Feb 02 21:48:57,Partial
2064 Jul 28 07:52:48,Partial
2065 Jan 22 09:58:58,Total
2065 Jul 17 17:48:40,Total
2066 Jan 11 15:04:47,Total
2066 Jul 07 09:30:29,Partial
2066 Dec 31 14:30:10,Penumbral
2067 May 28 18:56:08,Penumbral
2067 Jun 27 02:41:06,Penumbral
2067 Nov 21 00:04:42,Penumbral
2068 May 17 05:42:17,Partial
2068 Nov 09 11:46:59,Total
2069 May 06 09:09:57,Total
2069 Oct 30 03:35:06,Total
2070 Apr 25 09:21:24,Penumbral
2070 Oct 19 18:51:12,Partial
2071 Mar 16 01:31:09,Penumbral
2071 Sep 09 15:05:41,Penumbral
2072 Mar 04 15:23:07,Total
2072 Aug 28 16:05:42,Total
2073 Feb 22 07:24:53,Total
2073 Aug 17 17:42:41,Total
2074 Feb 11 20:55:58,Penumbral
2074 Jul 08 17:21:38,Penumbral
2074 Aug 07 01:56:03,Penumbral
2075 Jan 02 09:55:03,Penumbral
2075 Jun 28	09:55:35,Partial
2075 Dec 22	08:55:55,Partial
