Greatest eclipse time,Eclipse type
2025 Mar 29 10:48:36,Partial
2025 Sep 21 19:43:04,Partial
2026 Feb 17 12:13:05,Annular
2026 Aug 12 17:47:05,Total
2027 Feb 06 16:00:47,Annular
2027 Aug 02 10:07:49,Total
2028 Jan 26 15:08:58,Annular
2028 Jul 22 02:56:39,Total
2029 Jan 14 17:13:47,Partial
2029 Jun 12 04:06:13,Partial
2029 Jul 11 15:37:18,Partial
2029 Dec 05 15:03:57,Partial
2030 Jun 01 06:29:13,Annular
2030 Nov 25 06:51:37,Total
2031 May 21 07:16:04,Annular
2031 Nov 14 21:07:30,Hybrid
2032 May 09 13:26:42,Annular
2032 Nov 03 05:34:12,Partial
2033 Mar 30 18:02:35,Total
2033 Sep 23 13:54:31,Partial
2034 Mar 20 10:18:45,Total
2034 Sep 12 16:19:27,Annular
2035 Mar 09 23:05:53,Annular
2035 Sep 02 01:56:46,Total
2036 Feb 27 04:46:49,Partial
2036 Jul 23 10:32:06,Partial
2036 Aug 21 17:25:45,Partial
2037 Jan 16 09:48:55,Partial
2037 Jul 13 02:40:35,Total
2038 Jan 05 13:47:10,Annular
2038 Jul 02 13:32:54,Annular
2038 Dec 26 01:00:10,Total
2039 Jun 21 17:12:53,Annular
2039 Dec 15 16:23:46,Total
2040 May 11 03:43:02,Partial
2040 Nov 04 19:09:01,Partial
2041 Apr 30 11:52:20,Total
2041 Oct 25 01:36:21,Annular
2042 Apr 20 02:17:30,Total
2042 Oct 14 02:00:41,Annular
2043 Apr 09 18:57:49,Total
2043 Oct 03 03:01:48,Annular
2044 Feb 28 20:24:39,Annular
2044 Aug 23 01:17:01,Total
2045 Feb 16 23:56:06,Annular
2045 Aug 12 17:42:39,Total
2046 Feb 05 23:06:26,Annular
2046 Aug 02 10:21:13,Total
2047 Jan 26 01:33:17,Partial
2047 Jun 23 10:52:30,Partial
2047 Jul 22 22:36:16,Partial
2047 Dec 16 23:50:12,Partial
2048 Jun 11 12:58:52,Annular
2048 Dec 05 15:35:27,Total
2049 May 31 13:59:58,Annular
2049 Nov 25 05:33:47,Hybrid
2050 May 20 20:42:50,Hybrid
2050 Nov 14 13:30:52,Partial
2051 Apr 11 02:10:38,Partial
2051 Oct 04 21:02:14,Partial
2052 Mar 30 18:31:52,Total
2052 Sep 22 23:39:09,Annular
2053 Mar 20 07:08:19,Annular
2053 Sep 12 09:34:09,Total
2054 Mar 09 12:33:40,Partial
2054 Aug 03 18:04:01,Partial
2054 Sep 02 01:09:33,Partial
2055 Jan 27 17:54:05,Partial
2055 Jul 24 09:57:49,Total
2056 Jan 16 22:16:45,Annular
2056 Jul 12 20:21:58,Annular
2057 Jan 05 09:47:51,Total
2057 Jul 01 23:40:15,Annular
2057 Dec 26 01:14:35,Total
2058 May 22 10:39:25,Partial
2058 Jun 21 00:19:34,Partial
2058 Nov 16 03:23:07,Partial
2059 May 11 19:22:15,Total
2059 Nov 05 09:18:14,Annular
2060 Apr 30 10:09:59,Total
2060 Oct 24 09:24:10,Annular
2061 Apr 20 02:56:49,Total
2061 Oct 13 10:32:09,Annular
2062 Mar 11 04:26:15,Partial
2062 Sep 03 08:54:26,Partial
2063 Feb 28 07:43:29,Annular
2063 Aug 24 01:22:10,Total
2064 Feb 17 07:00:23,Annular
2064 Aug 12 17:46:05,Total
2065 Feb 05 09:52:25,Partial
2065 Jul 03 17:33:52,Partial
2065 Aug 02 05:34:16,Partial
2065 Dec 27 08:39:55,Partial
2066 Jun 22 19:25:47,Annular
2066 Dec 17 00:23:39,Total
2067 Jun 11 20:42:26,Annular
2067 Dec 06 14:03:42,Hybrid
2068 May 31 03:56:39,Total
2068 Nov 24 21:32:29,Partial
2069 Apr 21 10:11:08,Partial
2069 May 20 17:53:17,Partial
2069 Oct 15 04:19:56,Partial
2070 Apr 11 02:36:09,Total
2070 Oct 04 07:08:56,Annular
2071 Mar 31 15:01:05,Annular
2071 Sep 23 17:20:28,Total
2072 Mar 19 20:10:31,Partial
2072 Sep 12 08:59:20,Total
2073 Feb 07 01:55:58,Partial
2073 Aug 03 17:15:22,Total
2074 Jan 27 06:44:14,Annular
2074 Jul 24 03:10:31,Annular
2075 Jan 16 18:36:03,Total
2075 Jul 13	06:05:43,Annular
