Begin time,End time,Eclipse type,Greatest eclipse time,EARTH_Position_X,EARTH_Position_Y,EARTH_Position_Z,EARTH_Velocity_X,EARTH_Velocity_Y,EARTH_Velocity_Z,MOON_Position_X,MOON_Position_Y,MOON_Position_Z,MOON_Velocity_X,MOON_Velocity_Y,MOON_Velocity_Z,VENUS_Position_X,VENUS_Position_Y,VENUS_Position_Z,VENUS_Velocity_X,VENUS_Velocity_Y,VENUS_Velocity_Z,SUN_Position_X,SUN_Position_Y,SUN_Position_Z,SUN_Velocity_X,SUN_Velocity_Y,SUN_Velocity_Z
2025 Mar 14 04:08:45,2025 Mar 14 10:08:55,Total,2025 Mar 14 06:37:54,-147736552.35019472,16853566.40765957,-141.5093502511241,-3.851365566632938,-29.703604814927292,0.0028262143809787304,-148134019.46593523,16908457.69793144,3029.8689974075514,-4.012455352245395,-30.670906126930376,-0.0873295793134355,-105023735.61778045,22389663.20367615,6367355.67891969,-7.4756700502163085,-34.425283671769556,-0.04149523445778629,0.0,0.0,0.0,0.0,0.0,0.0
2025 Sep 07 16:17:25,2025 Sep 07 21:42:25,Total,2025 Sep 07 18:18:55,145609566.93879768,-38692408.3652417,1532.0070588217518,7.174050988512258,28.675858557103307,-0.002931863438797574,145964596.36398774,-38796566.79786703,-1042.4526713953228,7.433035247083316,29.70559401240259,0.09511297875106603,-2906208.3723888854,107583433.64601292,1645694.7527341335,-35.130884462409085,-1.13910243188481,2.0114222820627368,0.0,0.0,0.0,0.0,0.0,0.0
2026 Mar 03 10:01:04,2026 Mar 03 15:35:45,Total,2026 Mar 03 12:26:54,-141570005.5870453,44107910.99448987,-1837.4892262789042,-9.334302448457294,-28.54710899416471,0.0029107041613457194,-141931929.9432073,44230924.538616545,-3451.6340323808954,-9.70707730974109,-29.506513992097208,-0.09213929913471798,104794147.33696415,27654320.56175025,-5666744.066076446,-9.055629243384413,33.707897909522885,0.9856058185177783,0.0,0.0,0.0,0.0,0.0,0.0
2026 Aug 28 03:20:38,2026 Aug 28 08:52:05,Partial,2026 Aug 28 04:32:00,136739717.9076053,-64144707.97226798,3014.4633639226754,12.174766923991697,26.855556087789548,-0.0027965684079181165,137089239.8854292,-64319273.05926499,5538.03614121646,12.586094287096616,27.774874408566887,0.08959876957279023,55140291.32441154,-93784943.77338406,-4470075.3074112255,29.970756317349995,17.62795972597031,-1.487143071970726,0.0,0.0,0.0,0.0,0.0,0.0
2027 Feb 20 23:36:16,2027 Feb 21 03:24:10,Penumbral,2027 Feb 20 23:36:16,-130810979.62789586,69056545.3878759,-3554.918188966941,-14.38051841126958,-26.450473989291613,0.0029083302201082153,-131128525.51187745,69232724.31007639,-9857.034079754965,-14.929732594294903,-27.38134224428865,-0.09562638483162776,-76953027.24617384,-75953766.52511646,3396537.537922808,24.3705776440194,-25.103206060472232,-1.751191754724971,0.0,0.0,0.0,0.0,0.0,0.0
2027 Jul 18 18:06:55,2027 Jul 18 19:44:48,Penumbral,2027 Jul 18 18:06:55,66756735.93583816,-136486224.47667083,8282.95638374739,26.28040892377943,12.976555593125887,-0.001976584544980533,66933560.85580236,-136851585.6403844,-1536.8725630115566,27.155920129948353,13.391016259377494,0.08401887223037684,-19124880.42151774,105829913.17219053,2557868.32721014,-34.58266081128024,-6.4280875734470335,1.9071329276483595,0.0,0.0,0.0,0.0,0.0,0.0
2027 Aug 17 08:40:12,2027 Aug 17 11:48:46,Penumbral,2027 Aug 17 08:40:12,123134921.2201496,-88041587.86816822,4782.6988791399,16.847817421644265,24.118900196036385,-0.002641492567263092,123460944.61811195,-88281926.44971977,12867.504027546946,17.411920112505378,24.909080076637764,0.08454417744645908,-91320863.80101386,56347171.54728175,6043676.330295238,-18.5292139499411,-29.99038644683073,0.6570268492831548,0.0,0.0,0.0,0.0,0.0,0.0
2028 Jan 12 05:22:05,2028 Jan 12 09:41:37,Partial,2028 Jan 12 06:46:37,-54619427.14687933,136608149.17214665,-8318.099746170954,-28.132196578333147,-11.167875842061612,0.002045076314693993,-54746331.48163457,136945314.26450816,-1800.8330428367801,-29.142614951351103,-11.573768212098319,-0.09716296881766943,98522442.55220214,44959066.276649304,-5067046.635299983,-14.647840838022956,31.711066698253678,1.280985965014367,0.0,0.0,0.0,0.0,0.0,0.0
2028 Jul 06 19:33:22,2028 Jul 07 00:52:34,Partial,2028 Jul 06 20:52:36,40822384.85460326,-146414677.33125463,9079.460222333579,28.214785454635603,7.890613220342237,-0.0017369962154683727,40920061.71955642,-146796209.30554986,3779.3306309060513,29.191753995273785,8.099295422654617,0.08891894592455768,67453732.24874334,-85344719.87652399,-5065113.340548123,27.259794286288113,21.59023454968377,-1.2762092619802028,0.0,0.0,0.0,0.0,0.0,0.0
2028 Dec 31 18:31:34,2029 Jan 01 00:09:04,Total,2028 Dec 31 20:37:31,-28334030.32979335,144343779.82730037,-9000.330250270508,-29.703213348189575,-5.846490319395352,0.001682663065989701,-28397319.570634004,144716148.6404906,-6642.863508985295,-30.721331038049314,-6.065422322051979,-0.09455100138176203,-63073263.820330955,-88002767.8785822,2429929.224655271,28.237195387575895,-20.577030967736533,-1.9121312204836232,0.0,0.0,0.0,0.0,0.0,0.0
