Begin time,End time,Eclipse type,Greatest eclipse time,EARTH_Position_X,EARTH_Position_Y,EARTH_Position_Z,EARTH_Velocity_X,EARTH_Velocity_Y,EARTH_Velocity_Z,MOON_Position_X,MOON_Position_Y,MOON_Position_Z,MOON_Velocity_X,MOON_Velocity_Y,MOON_Velocity_Z,SUN_Position_X,SUN_Position_Y,SUN_Position_Z,SUN_Velocity_X,SUN_Velocity_Y,SUN_Velocity_Z
2025 Mar 14 03:59:31,2025 Mar 14 09:59:31,Total,2025 Mar 14 06:59:29,-147760078.90579504,16898396.103163127,-179.89126430827085,-3.8671599041593896,-29.696063079561828,0.002793401174267569,-148157503.12652668,16953391.6353533,3001.9406144074374,-4.0285436303523126,-30.66338125369871,-0.08736279539955116,0.0,0.0,0.0,0.0,0.0,0.0
2025 Sep 07 15:29:38,2025 Sep 07 20:53:55,Total,2025 Sep 07 18:11:49,145536891.92257407,-39230254.69597592,1444.2825455982677,7.26569159899498,28.639098482184053,-0.002847964060311437,145891615.30057707,-39335663.882385075,-1253.5549216573015,7.5281843923937455,29.667769824578638,0.09516197731042422,0.0,0.0,0.0,0.0,0.0,0.0
2026 Mar 03 08:47:02,2026 Mar 03 14:23:06,Total,2026 Mar 03 11:35:01,-141376674.98449913,44764003.088896476,-1726.8594220938646,-9.47199636701227,-28.499485995872323,0.0028165825865881984,-141737918.6381969,44888677.01171476,-3168.561131678224,-9.84939342203101,-29.457381695009488,-0.09226008376291243,0.0,0.0,0.0,0.0,0.0,0.0
2026 Aug 28 01:26:04,2026 Aug 28 07:01:11,Partial,2026 Aug 28 04:13:41,136317170.68134353,-65228455.51620096,2897.725684126687,12.368790322241232,26.74917551593037,-0.002701885115172538,136665427.51917863,-65405820.808504984,5128.297624066879,12.787333743074866,27.664845824984383,0.08974879570440368,0.0,0.0,0.0,0.0,0.0,0.0
2027 Feb 20 21:15:15,2027 Feb 21 01:12:57,Penumbral,2027 Feb 20 23:14:05,-130177275.9976939,70248008.10779634,-3167.315666400772,-14.62455730225982,-26.315940594271247,0.0027663546221492205,-130492961.37259322,70427253.28089245,-9129.212387873486,-15.182925984612275,-27.24174188993548,-0.09597556811841951,0.0,0.0,0.0,0.0,0.0,0.0
2027 Aug 17 05:28:44,2027 Aug 17 09:02:32,Penumbral,2027 Aug 17 07:15:39,122156833.42189276,-89545555.6788537,4278.601643545857,17.120503411409917,23.905016765057702,-0.0025072600583069607,122479658.77820025,-89790279.72420856,11857.652110103238,17.695477201788794,24.68710277883801,0.08497743750369433,0.0,0.0,0.0,0.0,0.0,0.0
2028 Jan 12 02:11:08,2028 Jan 12 06:19:11,Partial,2028 Jan 12 04:15:11,-52780029.172684,137326943.17955402,-7534.096367525062,-28.278463344739535,-10.793548988577893,0.001968632389378392,-52902807.18901708,137665748.2665155,-595.3847834423714,-29.293461754477253,-11.187022976290532,-0.09694583556635684,0.0,0.0,0.0,0.0,0.0,0.0
2028 Jul 06 15:48:06,2028 Jul 06 20:56:06,Partial,2028 Jul 06 18:22:03,38668118.0010756,-147087926.1863435,8147.335934339691,28.314313766897552,7.46040167199192,-0.001677610565563309,38760405.854310855,-147470538.34237403,2327.402035090162,29.29479120009688,7.655234716495883,0.08874172682304987,0.0,0.0,0.0,0.0,0.0,0.0
2028 Dec 31 14:07:33,2028 Dec 31 19:41:25,Total,2028 Dec 31 16:54:32,-25721591.200709704,144832948.44146565,-8055.8962507834,-29.802458392860032,-5.317741990168048,0.0016339822665276278,-25778373.585896213,145206677.96977988,-5059.453201875196,-30.823473205125644,-5.518498070577346,-0.09444575708097333,0.0,0.0,0.0,0.0,0.0,0.0
2029 Jun 26 00:38:27,2029 Jun 26 06:11:16,Total,2029 Jun 26 03:24:49,11554505.568644624,-151618789.5438216,8489.105999422314,29.206232885570273,2.1522284226281543,-0.0014652524869644117,11573065.145333223,-151991186.05806333,7634.356871879492,30.26015953611849,2.162069475354073,0.09569328283266437,0.0,0.0,0.0,0.0,0.0,0.0
2029 Dec 20 19:48:15,2029 Dec 21 01:43:24,Total,2029 Dec 20 22:45:52,2940996.5665161083,147139138.3661096,-8286.963566493816,-30.255860589712906,0.4839423693353578,0.0012499667805246865,2958856.3639636366,147537194.44627485,-9777.342275331646,-31.243571223003933,0.4954844579697365,-0.08993278502091047,0.0,0.0,0.0,0.0,0.0,0.0
2030 Jun 15 16:17:41,2030 Jun 15 20:53:04,Partial,2030 Jun 15 18:35:22,-15228082.760781232,-151186560.72684,8550.912638510263,29.14203576088633,-3.0948477281358984,-0.001210910320383814,-15272890.648553897,-151542374.18069464,12538.048930849278,30.224753873457438,-3.2453570253414172,0.09938389454687135,0.0,0.0,0.0,0.0,0.0,0.0
2030 Dec 09 20:15:39,2030 Dec 10 00:50:17,Penumbral,2030 Dec 09 22:32:58,32049458.933622766,143803226.52989146,-8200.806632261983,-29.549012053410557,6.366151143088351,0.000881193863103503,32145588.874509126,144197907.03606564,-14335.183436595164,-30.48921755432234,6.598064869841651,-0.08756191100050553,0.0,0.0,0.0,0.0,0.0,0.0
2031 May 07 01:56:10,2031 May 07 05:51:15,Penumbral,2031 May 07 03:53:45,-104895034.79198778,-108511292.19537975,6783.0399528976495,20.924381398358385,-20.806795843120792,-0.00012625763406049124,-105154276.72680768,-108770271.86786029,-645.5436213353486,21.706467912905943,-21.539183430716687,0.09707769775700903,0.0,0.0,0.0,0.0,0.0,0.0
2031 Jun 05 11:03:59,2031 Jun 05 12:29:31,Penumbral,2031 Jun 05 11:46:46,-41212819.6996281,-146068552.725177,8340.57931741495,28.173042779034326,-8.19702841091236,-0.0008612566461369625,-41313836.244017206,-146413694.1754755,17485.30361727903,29.22623460977087,-8.479733279729915,0.09506775176234407,0.0,0.0,0.0,0.0,0.0,0.0
2031 Oct 30 05:55:49,2031 Oct 30 09:45:42,Penumbral,2031 Oct 30 07:50:42,119817357.12524123,87844326.51222278,-5708.194064700745,-18.09116121053227,23.90276217633993,-0.0001399457295341566,120130586.7178993,88066784.62714039,2333.2549725477634,-18.64563861716035,24.76402722352478,-0.09107535984825248,0.0,0.0,0.0,0.0,0.0,0.0
2032 Apr 25 12:27:19,2032 Apr 25 18:07:32,Total,2032 Apr 25 15:17:29,-122565641.26399472,-87359614.79330933,5634.5859831117405,16.79852831599675,-24.359560275484142,0.00013668467778589382,-122885940.44346024,-87576379.82128459,2470.084705327541,17.404791620729355,-25.176464644036358,0.09403866859435962,0.0,0.0,0.0,0.0,0.0,0.0
2032 Oct 18 16:31:03,2032 Oct 18 21:44:35,Total,2032 Oct 18 19:07:47,134511957.7610805,64113773.731458865,-4394.991840186923,-13.296697120028302,26.767704583261796,-0.00023239425490421245,134844785.44395337,64262252.66204375,-880.5308373287967,-13.704841046152435,27.76456651709664,-0.09901469311254664,0.0,0.0,0.0,0.0,0.0,0.0
2033 Apr 14 16:19:12,2033 Apr 14 22:17:13,Total,2033 Apr 14 19:18:14,-136375943.17429537,-62602650.801339544,4255.772565051176,11.93859585394354,-27.173761013835755,0.00036818736088598957,-136746798.32527548,-62762029.90594701,5859.2080898607655,12.342104233962042,-28.060703198529996,0.09046657757522654,0.0,0.0,0.0,0.0,0.0,0.0
2033 Oct 08 08:24:55,2033 Oct 08 13:34:56,Total,2033 Oct 08 10:59:55,144364227.67710173,38695855.02922162,-2960.8904173053734,-8.193763394562758,28.649545442260244,-0.00032948490265287476,144711300.19606563,38778802.25314968,-3907.145944610326,-8.452890480666175,29.716837819787415,-0.10215898093185058,0.0,0.0,0.0,0.0,0.0,0.0
2034 Apr 03 17:02:59,2034 Apr 03 21:22:26,Penumbral,2034 Apr 03 19:12:41,-145362395.8572179,-35271148.44041156,2704.588015773415,6.53767271223996,-29.04913106472445,0.0005177710421646068,-145756678.6463496,-35358940.52031811,9153.407719719255,6.73255624983886,-30.003172707444755,0.08945081810928364,0.0,0.0,0.0,0.0,0.0,0.0
