Begin time,End time,Eclipse type,Greatest eclipse time,EARTH_Position_X,EARTH_Position_Y,EARTH_Position_Z,EARTH_Velocity_X,EARTH_Velocity_Y,EARTH_Velocity_Z,MOON_Position_X,MOON_Position_Y,MOON_Position_Z,MOON_Velocity_X,MOON_Velocity_Y,MOON_Velocity_Z,SUN_Position_X,SUN_Position_Y,SUN_Position_Z,SUN_Velocity_X,SUN_Velocity_Y,SUN_Velocity_Z,JUPITER_Position_X,JUPITER_Position_Y,JUPITER_Position_Z,JUPITER_Velocity_X,JUPITER_Velocity_Y,JUPITER_Velocity_Z
2025 Mar 29 09:02:43,2025 Mar 29 12:55:22,Partial,2025 Mar 29 09:02:43,-147654119.1215255,-22312073.764324836,1981.1197894734432,3.9782350173131333,-29.5858063019864,0.0004435697587459575,-147298298.24098253,-22266161.6463259,7893.432954461489,3.818135994847045,-28.504602219173613,0.09943236300621794,0.0,0.0,0.0,0.0,0.0,0.0,59181190.28170188,762441137.5376233,-4491432.352826305,-13.191095077520886,1.6257380633201275,0.28834740137477244
2025 Sep 21 18:24:40,2025 Sep 21 22:44:13,Partial,2025 Sep 21 18:24:40,150092288.99764317,-3017347.1021781485,-553.0776135456648,0.12392004689470269,29.69299980299698,-0.0005746782965274473,149695754.27762625,-3001596.51609602,-6727.911163214819,0.05043502282696229,28.70422082319706,-0.09115806061816029,0.0,0.0,0.0,0.0,0.0,0.0,-141595212.2003261,761096311.4844326,5796.2269379418085,-13.00959064468704,-1.7804088291584357,0.2984377977467694
2026 Feb 17 11:06:40,2026 Feb 17 15:42:35,Annular,2026 Feb 17 11:06:40,-126241321.28251837,76908296.4460094,-3569.160201636763,-15.985562164858775,-25.567684394233577,0.0003968886715085246,-125916611.89461443,76702017.5063163,-10332.336393872087,-15.474452207338372,-24.681568245558676,0.09366979138103974,0.0,0.0,0.0,0.0,0.0,0.0,-304141757.39352113,720664969.4867615,3810116.3735859655,-12.200657269249563,-4.475346067595046,0.29153492822866633
2026 Aug 12 17:16:11,2026 Aug 12 21:45:48,Total,2026 Aug 12 18:35:26,116051946.85110524,-97389274.36986619,4770.756499911932,18.68773664355344,22.724896176979392,-0.0002184199913178259,115775928.81241897,-97147797.92931066,10981.287635178709,17.954816103024427,21.944283522849187,-0.09661108855610764,0.0,0.0,0.0,0.0,0.0,0.0,-478362035.7068574,630423613.278147,8082554.015242419,-10.568927527042824,-7.297164957180525,0.26675691786534594
2027 Feb 06 15:17:39,2027 Feb 06 21:23:41,Annular,2027 Feb 06 15:17:39,-109040535.69626617,99370812.40972836,-4956.622896080794,-20.555173723518635,-22.142934927849932,0.0002814917942451408,-108749362.4586982,99092377.39537609,-7455.737971010865,-19.896728649779185,-21.42157018412069,0.09061027030231963,0.0,0.0,0.0,0.0,0.0,0.0,-624237572.4718566,499762599.35335326,11888775.14853541,-8.323307628799855,-9.602215514703335,0.22609237712365315
2027 Aug 02 10:14:06,2027 Aug 02 15:27:54,Total,2027 Aug 02 11:07:10,97693773.88179117,-116098173.01314549,6009.895695222655,22.33370908168022,19.08406073890139,3.198946802708231e-06,97471124.74903858,-115818639.27150473,7472.753483373502,21.474726297985768,18.402220584874446,-0.1014769039735433,0.0,0.0,0.0,0.0,0.0,0.0,-731453072.5745907,339615825.7258506,14952641.431738455,-5.656510669804631,-11.255064311074868,0.17330273566826124
2028 Jan 26 15:38:42,2028 Jan 26 21:35:11,Annular,2028 Jan 26 15:38:42,-87542390.89563785,118467195.01050124,-6289.124284602264,-24.450108055133043,-17.825512162858494,8.85451377390312e-05,-87309667.90438384,118135778.99664399,-4239.840148297439,-23.646515444576778,-17.279524975204087,0.09000010368614164,0.0,0.0,0.0,0.0,0.0,0.0,-795763400.2221519,158994526.67571655,17141702.597303182,-2.7113181519945893,-12.21799987986262,0.111411815522712
2028 Jul 22 04:18:03,2028 Jul 22 09:05:29,Total,2028 Jul 22 05:24:18,76483366.18333915,-131238022.21160722,7213.474142447524,25.279171509392416,14.90068232075184,0.00016693293617479335,76307870.7088319,-130918791.66843466,3693.9812213807304,24.35241337073381,14.351169090728535,-0.09841414985846156,0.0,0.0,0.0,0.0,0.0,0.0,-813900487.5759552,-31205213.68041495,18337620.153203204,0.3520756409760169,-12.461767911809236,0.04389631385021347
2029 Jan 14 19:44:26,2029 Jan 14 23:42:10,Partial,2029 Jan 14 19:44:26,-63125399.26836981,132935309.2442817,-7505.1510053791935,-27.404301175215412,-12.895994510687766,-0.00018937388119711092,-62965040.682722904,132580478.9574794,-802.089290702732,-26.467109343521027,-12.5171240132341,0.09200126188499665,0.0,0.0,0.0,0.0,0.0,0.0,-785436923.9832234,-218704155.08639583,18479787.968298096,3.3586790552128147,-11.992203273125138,-0.025319868903850754
2029 Jun 12 06:59:54,2029 Jun 12 10:50:03,Partial,2029 Jun 12 06:59:54,-20877127.10114911,-150405514.4891156,8994.341958588844,29.049805946303636,-4.208285285669124,0.0011757100077549375,-20817436.084078975,-150016498.0470091,17102.635795223727,28.056676356601795,-4.094419990604708,-0.08930642596697658,0.0,0.0,0.0,0.0,0.0,0.0,-726850006.0695524,-367107446.1194673,17785646.081815675,5.746486356583762,-11.067111243839795,-0.08257736899400936
