Begin time,End time,Eclipse type,Greatest eclipse time,EARTH_Position_X,EARTH_Position_Y,EARTH_Position_Z,EARTH_Velocity_X,EARTH_Velocity_Y,EARTH_Velocity_Z,MOON_Position_X,MOON_Position_Y,MOON_Position_Z,MOON_Velocity_X,MOON_Velocity_Y,MOON_Velocity_Z,SUN_Position_X,SUN_Position_Y,SUN_Position_Z,SUN_Velocity_X,SUN_Velocity_Y,SUN_Velocity_Z
2025 Mar 29 08:51:26,2025 Mar 29 12:44:29,Partial,2025 Mar 29 10:47:58,-147701754.82221255,-22257167.499549806,1996.5207185264414,3.9564964949566663,-29.58130654861215,0.00044403258642983044,-147345907.2177438,-22211411.793837868,7893.755249480863,3.7968504108589944,-28.500054556830666,0.09943888593586744,0.0,0.0,0.0,0.0,0.0,0.0
2025 Sep 21 17:30:06,2025 Sep 21 21:54:18,Partial,2025 Sep 21 19:42:10,150135711.8921494,-3577769.6399667677,-552.6936970141296,0.2262896326597383,29.681797747235816,-0.0005739846107315631,149739325.9864,-3560427.6787050003,-6576.527349819687,0.1486894687595397,28.6931315381056,-0.091233464936704,0.0,0.0,0.0,0.0,0.0,0.0
2026 Feb 17 09:57:29,2026 Feb 17 14:28:57,Annular,2026 Feb 17 12:13:16,-125902233.8407546,77474045.70569791,-3591.55378722149,-16.102535768481662,-25.49284755978203,0.0003946231561944662,-125578310.78764571,77266404.11611989,-10504.3235601729,-15.587848036306818,-24.609017912318766,0.09357826205161278,0.0,0.0,0.0,0.0,0.0,0.0
2026 Aug 12 15:34:37,2026 Aug 12 19:58:26,Total,2026 Aug 12 17:46:29,115429327.61415751,-98259308.65800746,4825.84319407724,18.834215064484184,22.58196689621208,-0.00020832593995969245,115154967.57728697,-98016108.18453154,11260.795331069228,18.09607559229392,21.805891444434803,-0.09646208329270932,0.0,0.0,0.0,0.0,0.0,0.0
2027 Feb 06 12:59:26,2027 Feb 06 19:03:23,Annular,2027 Feb 06 16:01:26,-108152192.8176,100332381.29959418,-5024.5897099047925,-20.752408545286855,-21.95903002451642,0.00025672077692938367,-107863386.11997585,100051392.58911555,-7857.777510950948,-20.087633698379204,-21.243734835186082,0.09052125988884231,0.0,0.0,0.0,0.0,0.0,0.0
2027 Aug 02 07:31:20,2027 Aug 02 12:44:10,Total,2027 Aug 02 10:07:45,96480222.77985305,-117228210.25438803,6052.418105370909,22.527432989922055,18.827243982496928,4.557858020128707e-05,96260590.95600572,-116946312.07116537,7884.87869784966,21.66132304331349,18.154439552956877,-0.10137307117039808,0.0,0.0,0.0,0.0,0.0,0.0
2028 Jan 26 12:09:39,2028 Jan 26 18:11:31,Annular,2028 Jan 26 15:10:34,-85947330.73631972,119618371.95503986,-6284.290764512553,-24.686411708350075,-17.50020340887349,3.06025778246616e-05,-85719196.58334097,119283913.59837364,-4763.021261776954,-23.874948810478305,-16.96548938922108,0.09001923616405737,0.0,0.0,0.0,0.0,0.0,0.0
2028 Jul 22 00:29:42,2028 Jul 22 05:25:04,Total,2028 Jul 22 02:57:25,74574863.37211515,-132437814.40101692,7086.049923601622,25.484225848986178,14.51160346410762,0.00023998780261593337,74404186.04369818,-132115755.84381661,4099.389057898964,24.549774780599684,13.97641144541638,-0.09851050789966767,0.0,0.0,0.0,0.0,0.0,0.0
2029 Jan 14 15:04:58,2029 Jan 14 19:25:48,Partial,2029 Jan 14 17:15:20,-60737351.97165838,134034054.03587158,-7287.446731201374,-27.629413288909483,-12.411210744966882,-0.0002712781821612286,-60584040.81217632,133676499.41609459,-1299.3051940796893,-26.684106827445586,-12.050547299892346,0.09230115647223082,0.0,0.0,0.0,0.0,0.0,0.0
2029 Jun 12 02:28:44,2029 Jun 12 05:47:10,Partial,2029 Jun 12 04:07:59,-23590937.24547281,-150068176.96946406,8481.713521326026,28.955805618010697,-4.738954059393966,0.0011997084005524509,-23525149.376761585,-149679911.90052545,17171.624310727122,27.965211216035005,-4.609312203389167,-0.08887989040524417,0.0,0.0,0.0,0.0,0.0,0.0
