Begin time,End time,Eclipse type,Greatest eclipse time,EARTH_Position_X,EARTH_Position_Y,EARTH_Position_Z,EARTH_Velocity_X,EARTH_Velocity_Y,EARTH_Velocity_Z,MOON_Position_X,MOON_Position_Y,MOON_Position_Z,MOON_Velocity_X,MOON_Velocity_Y,MOON_Velocity_Z,SUN_Position_X,SUN_Position_Y,SUN_Position_Z,SUN_Velocity_X,SUN_Velocity_Y,SUN_Velocity_Z
2025 Mar 14 03:59:31,2025 Mar 14 09:59:31,Total,2025 Mar 14 06:59:29,-147760078.90579525,16898396.103163213,-179.89126429011773,-3.867159904159925,-29.696063079561696,0.0027934011742753095,-148157503.12652797,16953391.635336995,3001.9406129307636,-4.028543630313913,-30.66338125370673,-0.08736279540018071,0.0,0.0,0.0,0.0,0.0,0.0
2025 Sep 07 15:29:38,2025 Sep 07 20:53:55,Total,2025 Sep 07 18:11:49,145536891.9225741,-39230254.69597963,1444.2825455489606,7.2656915989971225,28.63909848218356,-0.0028479640603055276,145891615.30059314,-39335663.88234683,-1253.554917632622,7.528184392271043,29.66776982459912,0.09516197730994526,0.0,0.0,0.0,0.0,0.0,0.0
2026 Mar 03 08:47:02,2026 Mar 03 14:23:06,Total,2026 Mar 03 11:35:01,-141376674.98449638,44764003.08890912,-1726.859421975757,-9.471996367017438,-28.499485995870092,0.0028165825866069047,-141737918.63822302,44888677.01162445,-3168.5611413385327,-9.849393421774057,-29.457381695126106,-0.0922600837644371,0.0,0.0,0.0,0.0,0.0,0.0
2026 Aug 28 01:26:04,2026 Aug 28 07:01:11,Partial,2026 Aug 28 04:13:41,136317170.68133777,-65228455.51621477,2897.725683835488,12.368790322250845,26.749175515925888,-0.002701885115102763,136665427.51928946,-65405820.80828342,5128.297647799253,12.787333742480648,27.664845825259725,0.08974879569873609,0.0,0.0,0.0,0.0,0.0,0.0
2027 Feb 20 21:15:15,2027 Feb 21 01:12:57,Penumbral,2027 Feb 20 23:14:05,-130177275.99768302,70248008.10782005,-3167.315665873662,-14.624557302277498,-26.315940594260592,0.0027663546219150125,-130492961.37281932,70427253.2804974,-9129.21243082752,-15.18292598345235,-27.241741890629772,-0.09597556809938894,0.0,0.0,0.0,0.0,0.0,0.0
2027 Aug 17 05:28:44,2027 Aug 17 09:02:32,Penumbral,2027 Aug 17 07:15:39,122156833.42187274,-89545555.67888412,4278.601642741851,17.120503411431752,23.905016765041122,-0.002507260057898221,122479658.77861609,-89790279.72364031,11857.652175594232,17.695477200368224,24.687102779919083,0.08497743747048082,0.0,0.0,0.0,0.0,0.0,0.0
2028 Jan 12 02:11:08,2028 Jan 12 06:19:11,Partial,2028 Jan 12 04:15:11,-52780029.172639474,137326943.1795731,-7534.096366402471,-28.278463344754506,-10.793548988537902,0.0019686323900121325,-52902807.18993301,137665748.26617673,-595.3848748029661,-29.29346175345942,-11.187022978975694,-0.09694583561790855,0.0,0.0,0.0,0.0,0.0,0.0
2028 Jul 06 15:48:06,2028 Jul 06 20:56:06,Partial,2028 Jul 06 18:22:03,38668118.00102139,-147087926.18635693,8147.3359329705945,28.314313766907777,7.4604016719465065,-0.0016776105662175576,38760405.855472386,-147470538.34211478,2327.4021464749717,29.294791199428925,7.6552347195719435,0.08874172687627191,0.0,0.0,0.0,0.0,0.0,0.0
2028 Dec 31 14:07:33,2028 Dec 31 19:41:25,Total,2028 Dec 31 16:54:32,-25721591.20065615,144832948.44147387,-8055.896249021422,-29.802458392870022,-5.317741990110519,0.0016339822668502352,-25778373.587395485,145206677.9695109,-5059.453345176655,-30.823473204426193,-5.5184980746761045,-0.09444575710723152,0.0,0.0,0.0,0.0,0.0,0.0
2029 Jun 26 00:38:27,2029 Jun 26 06:11:16,Total,2029 Jun 26 03:24:49,11554505.568590743,-151618789.54382402,8489.105997313463,29.20623288557283,2.1522284225592436,-0.0014652524872089394,11573065.147166695,-151991186.0580148,7634.357043372309,30.260159535948922,2.1620694804611476,0.09569328285257164,0.0,0.0,0.0,0.0,0.0,0.0
