Begin time,End time,Eclipse type,Greatest eclipse time,EARTH_Position_X,EARTH_Position_Y,EARTH_Position_Z,EARTH_Velocity_X,EARTH_Velocity_Y,EARTH_Velocity_Z,MOON_Position_X,MOON_Position_Y,MOON_Position_Z,MOON_Velocity_X,MOON_Velocity_Y,MOON_Velocity_Z,SUN_Position_X,SUN_Position_Y,SUN_Position_Z,SUN_Velocity_X,SUN_Velocity_Y,SUN_Velocity_Z
2025 Mar 29 08:51:26,2025 Mar 29 12:44:29,Partial,2025 Mar 29 10:47:58,-147701754.82221246,-22257167.499549605,1996.5207185473148,3.95649649495612,-29.581306548612275,0.0004440325864167803,-147345907.21774104,-22211411.793856528,7893.755247782505,3.796850410915241,-28.50005455682133,0.09943888593692835,0.0,0.0,0.0,0.0,0.0,0.0
2025 Sep 21 17:30:06,2025 Sep 21 21:54:18,Partial,2025 Sep 21 19:42:10,150135711.89214742,-3577769.63996361,-552.6936971740213,0.22628963266304708,29.681797747235663,-0.0005739846106788568,149739325.98640338,-3560427.6785577317,-6576.527336845109,0.14868946839964356,28.693131538133787,-0.09123346494098974,0.0,0.0,0.0,0.0,0.0,0.0
2026 Feb 17 09:57:29,2026 Feb 17 14:28:57,Annular,2026 Feb 17 12:13:16,-125902233.84075849,77474045.70568474,-3591.553786893283,-16.10253576848694,-25.492847559779268,0.0003946231563496345,-125578310.78780316,77266404.1158532,-10504.323586777327,-15.587848035655261,-24.609017912719466,0.09357826203900746,0.0,0.0,0.0,0.0,0.0,0.0
2026 Aug 12 15:34:37,2026 Aug 12 19:58:26,Total,2026 Aug 12 17:46:29,115429327.61417204,-98259308.65798287,4825.843193509093,18.834215064492213,22.581966896204943,-0.00020832594030226968,115154967.57764949,-98016108.18412407,11260.79537711298,18.09607559123663,21.805891445407592,-0.09646208326488107,0.0,0.0,0.0,0.0,0.0,0.0
2027 Feb 06 12:59:26,2027 Feb 06 19:03:23,Annular,2027 Feb 06 16:01:26,-108152192.81762786,100332381.29956059,-5024.589709009382,-20.75240854529645,-21.959030024507246,0.0002567207770943518,-107863386.12054756,100051392.58849865,-7857.777583533789,-20.08763369696781,-21.243734836548427,0.09052125987546297,0.0,0.0,0.0,0.0,0.0,0.0
2027 Aug 02 07:31:20,2027 Aug 02 12:44:10,Total,2027 Aug 02 10:07:45,96480222.77988915,-117228210.25435379,6052.418104018165,22.52743298994007,18.82724398247357,4.557857997421028e-05,96260590.95699055,-116946312.07038744,7884.878807586389,21.66132304120942,18.154439555669438,-0.10137307115198096,0.0,0.0,0.0,0.0,0.0,0.0
2028 Jan 26 12:09:39,2028 Jan 26 18:11:31,Annular,2028 Jan 26 15:10:34,-85947330.73636591,119618371.95500576,-6284.290762846474,-24.686411708366137,-17.50020340884867,3.060257769142442e-05,-85719196.58461748,119283913.59750983,-4763.021396971896,-23.87494880844918,-16.965489392250674,0.0900192361749432,0.0,0.0,0.0,0.0,0.0,0.0
2028 Jul 22 00:29:42,2028 Jul 22 05:25:04,Total,2028 Jul 22 02:57:25,74574863.37215802,-132437814.40099323,7086.049921321558,25.484225849012194,14.511603464058766,0.00023998780323166233,74404186.04552415,-132115755.84278499,4099.389243038447,24.549774777907228,13.97641145041485,-0.09851050794977821,0.0,0.0,0.0,0.0,0.0,0.0
2029 Jan 14 15:04:58,2029 Jan 14 19:25:48,Partial,2029 Jan 14 17:15:20,-60737351.971690714,134034054.03585926,-7287.446728541916,-27.629413288932568,-12.411210744908562,-0.00027127818324264026,-60584040.8144389,133676499.41519332,-1299.3054101262342,-26.684106825087557,-12.050547305593208,0.09230115656019812,0.0,0.0,0.0,0.0,0.0,0.0
2029 Jun 12 02:28:44,2029 Jun 12 05:47:10,Partial,2029 Jun 12 04:07:59,-23590937.245451648,-150068176.9694687,8481.713518188355,28.955805617998145,-4.738954059471299,0.0011997083986062965,-23525149.373891104,-149679911.9009158,17171.624565794325,27.96521121720868,-4.609312196203719,-0.08887989024708083,0.0,0.0,0.0,0.0,0.0,0.0
2029 Jul 11 14:30:59,2029 Jul 11 16:47:05,Partial,2029 Jul 11 15:39:04,50044535.93811851,-143611207.60366508,7916.976058306721,27.657731938687412,9.695942918628562,0.0003973662464284657,49922875.21618869,-143247677.12056246,-733.8226747859507,26.700825267062598,9.325153252470598,-0.0899621394613629,0.0,0.0,0.0,0.0,0.0,0.0
2029 Dec 05 13:09:17,2029 Dec 05 17:02:15,Partial,2029 Dec 05 15:05:44,42308159.35399231,141219734.70916876,-8101.77761137565,-29.033201939538895,8.442285135861146,-0.0014985777241458146,42198601.61491641,140876480.72009438,-15461.064064282444,-28.0038391725052,8.08731889879574,0.09606317457018465,0.0,0.0,0.0,0.0,0.0,0.0
2030 Jun 01 03:37:45,2030 Jun 01 09:24:28,Annular,2030 Jun 01 06:31:07,-51010406.1743881,-142857603.55159718,8275.75730634257,27.58134058899478,-10.132878509564462,0.0014984451819777334,-50865475.45557941,-142478172.2307278,12719.952167431615,26.674924770527458,-9.793097669155493,-0.08755525746188288,0.0,0.0,0.0,0.0,0.0,0.0
2030 Nov 25 04:20:35,2030 Nov 25 09:27:57,Total,2030 Nov 25 06:54:17,68030746.16307496,131079368.04061265,-7718.887652938292,-26.93657567594331,13.617734409495288,-0.0018454012311339301,67857740.5357857,130765970.51655656,-11051.708199405331,-25.97057559005235,13.101558384340803,0.09932901736168785,0.0,0.0,0.0,0.0,0.0,0.0
2031 May 21 04:18:01,2031 May 21 10:19:07,Annular,2031 May 21 07:18:32,-76662146.68477313,-130551039.3588147,7779.199360985451,25.213617869785537,-15.202330761613933,0.0018206682953796982,-76451156.28427291,-130211336.90541953,7469.998930352549,24.39429492298123,-14.657925755403845,-0.08918977119232267,0.0,0.0,0.0,0.0,0.0,0.0
2031 Nov 14 18:28:28,2031 Nov 14 23:54:02,Hybrid,2031 Nov 14 21:11:18,91495447.93859716,116341633.89827366,-7068.892694618122,-23.910341234049643,18.311577295140292,-0.002081698741614126,91257945.22697414,116055466.43432714,-6015.816194337259,-23.069822135517338,17.670718590364515,0.09541520135574355,0.0,0.0,0.0,0.0,0.0,0.0
2032 May 09 11:13:53,2032 May 09 15:44:31,Annular,2032 May 09 13:29:09,-99071610.57488172,-114012158.95470037,7028.166158389297,22.010712207788558,-19.659504512742128,0.0021361542723875174,-98815866.04830067,-113730593.97603627,1812.6651297165554,21.27552014428923,-18.932450550041597,-0.09273169913234122,0.0,0.0,0.0,0.0,0.0,0.0
2032 Nov 03 03:29:38,2032 Nov 03 07:49:30,Partial,2032 Nov 03 05:39:37,112164295.7940314,97166467.68694241,-6161.542701501138,-19.99766639571579,22.41358827717288,-0.002249285732276178,111862266.58349466,96915217.93067242,-64.91369500608448,-19.32569191363805,21.67045551257586,0.0882535742386613,0.0,0.0,0.0,0.0,0.0,0.0
