Begin time,End time,Eclipse type,Greatest eclipse time,EARTH_Position_X,EARTH_Position_Y,EARTH_Position_Z,EARTH_Velocity_X,EARTH_Velocity_Y,EARTH_Velocity_Z,MOON_Position_X,MOON_Position_Y,MOON_Position_Z,MOON_Velocity_X,MOON_Velocity_Y,MOON_Velocity_Z,SUN_Position_X,SUN_Position_Y,SUN_Position_Z,SUN_Velocity_X,SUN_Velocity_Y,SUN_Velocity_Z,JUPITER_Position_X,JUPITER_Position_Y,JUPITER_Position_Z,JUPITER_Velocity_X,JUPITER_Velocity_Y,JUPITER_Velocity_Z,VENUS_Position_X,VENUS_Position_Y,VENUS_Position_Z,VENUS_Velocity_X,VENUS_Velocity_Y,VENUS_Velocity_Z
2025 Mar 14 03:59:30,2025 Mar 14 09:59:31,Total,2025 Mar 14 06:59:28,-147757995.3649359,16898718.7367911,-157.43096701952004,-3.866181285225738,-29.696091502751944,0.0028242868258308153,-148155419.2050013,16953716.00526906,3024.520272390871,-4.027569933383923,-30.66340977519517,-0.08733230435537451,0.0,0.0,0.0,0.0,0.0,0.0,76500363.20805667,760109653.5513742,-4869206.171917928,-13.164480698573266,1.923678265489913,0.28650955359190305,-105046384.74227834,22483002.070523944,6369928.274960914,-7.508256358114856,-34.40411900876492,-0.039326166198933296
2025 Sep 07 15:31:54,2025 Sep 07 20:56:15,Total,2025 Sep 07 18:14:07,145546924.5192266,-39180082.25082394,1588.2937103960644,7.258004118600087,28.641304628601354,-0.0029287706413391743,145901677.82116455,-39285373.02753013,-1097.7412338927402,7.520162189005006,29.67007563869568,0.09508524642371705,0.0,0.0,0.0,0.0,0.0,0.0,-125692494.73297776,763118804.5197061,-358433.5469355437,-13.056335997936518,-1.5124618908640313,0.2983707606463585,-2444383.649621758,107604327.90766026,1619329.3823484925,-35.13254606230704,-0.9823268129540397,2.013654211621451
2026 Mar 03 08:48:27,2026 Mar 03 14:24:28,Total,2026 Mar 03 11:36:24,-141383858.3716737,44736101.69583185,-1886.3474307669312,-9.465289005530048,-28.501561954952365,0.0029104492828790677,-141745129.2173622,44860705.55550761,-3335.781920972122,-9.842493702179686,-29.45952526377006,-0.09216695761328994,0.0,0.0,0.0,0.0,0.0,0.0,-318734935.75591904,715184704.9963179,4159229.346524246,-12.097205560552586,-4.712082791216462,0.29020401058033574,105021716.011052,26814768.204242494,-5691299.625915523,-8.788815987880605,33.77525978383385,0.9711346457254039
2026 Aug 28 01:29:54,2026 Aug 28 07:04:47,Partial,2026 Aug 28 04:17:24,136346388.0584616,-65154076.97723744,3068.2234072183874,12.356929212587186,26.75577488204731,-0.0027980073502518266,136694732.40006816,-65331250.94745321,5319.491998605071,12.774979927964328,27.671695816904354,0.08965047229680356,0.0,0.0,0.0,0.0,0.0,0.0,-492266764.33522177,620685497.5631014,8433919.027309662,-10.397708671037483,-7.515753393455509,0.2638302519448055,54077040.68564197,-94446555.92060815,-4417771.272261232,30.157789587318,17.281235714389535,-1.502642616719974
2027 Feb 20 21:18:47,2027 Feb 21 01:15:59,Penumbral,2027 Feb 20 23:17:21,-130206983.8951272,70183133.67054743,-3597.3059255806597,-14.611621585520123,-26.324192110396282,0.00292288841684317,-130522766.69289066,70362216.72387244,-9578.09306731746,-15.169509243995375,-27.250268304055567,-0.09581072127752624,0.0,0.0,0.0,0.0,0.0,0.0,-634395914.7832416,487982979.75582176,12164790.773173282,-8.124521788078807,-9.755835400002374,0.22227916099287084,-78058616.32321717,-74882222.79740113,3474816.821587402,23.99950569324681,-25.43801922573782,-1.7343601774423172
2027 Aug 17 05:34:25,2027 Aug 17 09:06:52,Penumbral,2027 Aug 17 07:20:39,122214903.37143765,-89459737.12625271,4866.285893925566,17.104818273824336,23.916784296000003,-0.002665759059724718,122537913.183818,-89704210.56811136,12475.767657442977,17.679173768720005,24.69933818047626,0.08480435695819644,0.0,0.0,0.0,0.0,0.0,0.0,-738620509.4665809,325359612.6092365,15172029.039294153,-5.422936132194588,-11.357919767717767,0.16850399404810532,-90341391.16696945,57961990.57213634,6009216.830116333,-19.051547811908282,-29.64924214773333,0.6917620670326029
2028 Jan 12 02:15:19,2028 Jan 12 06:23:55,Partial,2028 Jan 12 04:19:38,-52869793.893143065,137291748.13666463,-8494.522370815957,-28.27095431317875,-10.812756779462157,0.0020535386626556883,-52992774.41159474,137630474.4546856,-1577.5054187436242,-29.28573036679236,-11.206841144477643,-0.0968801091454936,0.0,0.0,0.0,0.0,0.0,0.0,-792346006.4380438,174602230.72191387,17000206.607884955,-2.965871293378442,-12.161024350004183,0.1168721344058989,99423801.87716708,42960192.0115079,-5146172.912880581,-14.00404429050377,31.996219502586133,1.2477890482638965
2028 Jul 06 15:53:29,2028 Jul 06 21:02:05,Partial,2028 Jul 06 18:27:45,38781973.59804499,-147053467.40304804,9396.652838192487,28.308792395343854,7.483398116695621,-0.0017461415637423264,38874544.51561132,-147436022.8911375,3605.6398965509584,29.289094524987203,7.678960698213612,0.08869195637296164,0.0,0.0,0.0,0.0,0.0,0.0,-814456039.6116892,-14153147.022045242,18278999.796337552,0.07506609493819655,-12.46534727983976,0.050107529768567166,65444610.7351324,-86942407.72474039,-4971206.92219395,27.749060200279594,20.937480328587984,-1.3132817396529748
2028 Dec 31 14:14:07,2028 Dec 31 19:48:13,Total,2028 Dec 31 17:01:13,-25860912.819936104,144809698.31546485,-9389.884004065732,-29.796685766096203,-5.3454667843579955,0.0016848680867743771,-25918041.020342123,145183359.34906986,-6429.217303699699,-30.817552195990945,-5.547187260214977,-0.09441004031428696,0.0,0.0,0.0,0.0,0.0,0.0,-789840463.9379814,-203534934.4756496,18515106.523631237,3.1100673847758666,-12.05388422366409,-0.019503885488046435,-65418945.00829049,-86317543.55684862,2587979.2040781192,27.66755979275905,-21.318172915739783,-1.8894497585628267
2029 Jun 26 00:45:03,2029 Jun 26 06:17:52,Total,2029 Jun 26 03:31:24,11698455.689637126,-151602749.0748853,10050.32559412778,29.204656320735356,2.1804783338812093,-0.0014837667529629785,11717368.745058574,-151975142.39279145,9231.874397212592,30.258533078477463,2.1913160539987566,0.09568625352119021,0.0,0.0,0.0,0.0,0.0,0.0,-720516620.0893376,-379786246.68157744,17696491.023290884,5.943880415946575,-10.959182226582906,-0.08743970318557347,-97305987.23811416,45336766.48077565,6237719.712132651,-14.943819494794408,-31.912723381734196,0.4235211637963197
2029 Dec 20 19:56:51,2029 Dec 21 01:51:35,Total,2029 Dec 20 22:54:16,2770323.681445845,147142757.4212077,-9882.042299035176,-30.255995438952176,0.44980873490184575,0.001231244996535313,2787714.717432155,147540818.62421572,-11420.024765491418,-31.243758466803275,0.46015428510117873,-0.0899546970284964,0.0,0.0,0.0,0.0,0.0,0.0,-609232857.649455,-535511929.3842952,15853905.412381994,8.479032324104194,-9.213007226622935,-0.15140867074810854,20572421.209611118,105779387.12349841,267261.00314033485,-34.49525254534811,6.51145049799886,2.0798656534348146
2030 Jun 15 16:26:34,2030 Jun 15 21:01:12,Partial,2030 Jun 15 18:43:52,-15035523.929976089,-151198903.5050228,10437.261926093342,29.147011004095845,-3.058677623807989,-0.0011917510917011708,-15079861.49143466,-151554783.02405307,14472.581870263926,30.229903248106996,-3.2077780297307483,0.09939682960994088,0.0,0.0,0.0,0.0,0.0,0.0,-463216149.2570033,-659346849.7413279,13101808.23300479,10.546147237051963,-6.908343219884086,-0.2072242932668589,108391254.74801023,4536579.529948088,-6191487.54580104,-1.6089308115155183,34.832191473209775,0.5717780811302821
2030 Dec 09 20:26:19,2030 Dec 10 00:59:14,Penumbral,2030 Dec 09 22:42:46,31857309.984535288,143844220.7085219,-10052.647745347142,-29.55755087320226,6.326495270138279,0.0008077980723469055,31952873.59726591,144239039.34956717,-16245.322462315316,-30.49809928550052,6.557004561427751,-0.08762257927060976,0.0,0.0,0.0,0.0,0.0,0.0,-289581313.7662379,-744364786.2391124,9570628.911071932,12.033241020858513,-4.13168319797565,-0.25203548124006325,32014419.501183465,-104004709.36145571,-3277228.4950881223,33.23655236862327,10.184660065485566,-1.7776103529304248
2031 May 07 02:05:03,2031 May 07 06:01:35,Penumbral,2031 May 07 04:03:21,-104738156.343707,-108654398.4662455,8219.228484707706,20.954509814147574,-20.77797171923534,0.0001326383230731802,-104997056.96239641,-108913697.34637308,835.4557238659631,21.73755356847335,-21.50939665776911,0.0973858139919857,0.0,0.0,0.0,0.0,0.0,0.0,-130354355.94019583,-780908339.0886315,6160381.9180467455,12.744820956613093,-1.5428667549055002,-0.27870443233056025,-103627254.55733728,28231901.266665705,6367183.76288441,-9.37885375082763,-33.94871118884195,0.07432623499920908
2031 Jun 05 11:16:33,2031 Jun 05 12:36:29,Penumbral,2031 Jun 05 11:56:32,-40993952.065297306,-146124344.9033803,10236.197612590766,28.186165621674068,-8.15587021150239,-0.0007646165021667418,-41094290.028694406,-146469667.45050287,19447.90189044902,29.23993462769885,-8.43659133028639,0.09511958715765559,0.0,0.0,0.0,0.0,0.0,0.0,-97895782.76442781,-784149283.8334568,5447713.829362414,12.822680579695856,-1.0094960028086633,-0.28266365391055887,-91346108.37302427,-57596995.07121108,4478422.206272077,18.434512515439973,-29.788144324948895,-1.4732134104306485
