Begin time,End time,Eclipse type,Greatest eclipse time,EARTH_Position_X,EARTH_Position_Y,EARTH_Position_Z,EARTH_Velocity_X,EARTH_Velocity_Y,EARTH_Velocity_Z,MOON_Position_X,MOON_Position_Y,MOON_Position_Z,MOON_Velocity_X,MOON_Velocity_Y,MOON_Velocity_Z,SUN_Position_X,SUN_Position_Y,SUN_Position_Z,SUN_Velocity_X,SUN_Velocity_Y,SUN_Velocity_Z
2025 Mar 14 03:59:31,2025 Mar 14 09:59:31,Total,2025 Mar 14 06:59:29,-147760078.90579492,16898396.10316276,-179.89126431101218,-3.8671599041591684,-29.696063079561846,0.002793401174264656,-148157503.12652704,16953391.63535531,3001.9406146302126,-4.028543630357887,-30.6633812536961,-0.08736279539931438,0.0,0.0,0.0,0.0,0.0,0.0
2025 Sep 07 15:29:38,2025 Sep 07 20:53:55,Total,2025 Sep 07 18:11:49,145536891.92257437,-39230254.695969,1444.2825456982548,7.265691598991218,28.639098482185386,-0.002847964060284341,145891615.30055732,-39335663.88246508,-1253.554929812161,7.528184392623352,29.667769824506202,0.09516197730821983,0.0,0.0,0.0,0.0,0.0,0.0
2026 Mar 03 08:47:02,2026 Mar 03 14:23:06,Total,2026 Mar 03 11:35:01,-141376674.98450106,44764003.08888667,-1726.8594222521842,-9.471996367006174,-28.499485995874473,0.00281658258660835,-141737918.63814667,44888677.011836216,-3168.5611187720074,-9.849393422378052,-29.45738169489226,-0.09226008376454842,0.0,0.0,0.0,0.0,0.0,0.0
2026 Aug 28 01:26:04,2026 Aug 28 07:01:11,Partial,2026 Aug 28 04:13:41,136317170.68135148,-65228455.5161777,2897.725684372305,12.36879032223151,26.749175515935615,-0.0027018851152098176,136665427.51909673,-65405820.80868361,5128.297604002981,12.787333743577191,27.664845824725223,0.08974879570742575,0.0,0.0,0.0,0.0,0.0,0.0
2027 Feb 20 21:15:15,2027 Feb 21 01:12:57,Penumbral,2027 Feb 20 23:14:05,-130177275.99770892,70248008.10776843,-3167.3156668237766,-14.624557302243723,-26.31594059428034,0.00276635462235736,-130492961.37241304,70427253.28119357,-9129.212353369858,-15.182925985519871,-27.241741889413635,-0.09597556813532951,0.0,0.0,0.0,0.0,0.0,0.0
2027 Aug 17 05:28:44,2027 Aug 17 09:02:32,Penumbral,2027 Aug 17 07:15:39,122156833.42191288,-89545555.67882189,4278.601643986976,17.120503411395017,23.905016765069092,-0.0025072600585475694,122479658.77797908,-89790279.72450039,11857.65207410814,17.69547720258418,24.68710277824427,0.08497743752323751,0.0,0.0,0.0,0.0,0.0,0.0
2028 Jan 12 02:11:08,2028 Jan 12 06:19:11,Partial,2028 Jan 12 04:15:11,-52780029.17272887,137326943.17953452,-7534.096368097842,-28.27846334473079,-10.793548988602758,0.001968632389019887,-52902807.18857962,137665748.26668817,-595.3847367829892,-29.293461754956184,-11.187022974933509,-0.09694583553717664,0.0,0.0,0.0,0.0,0.0,0.0
2028 Jul 06 15:48:06,2028 Jul 06 20:56:06,Partial,2028 Jul 06 18:22:03,38668118.001129985,-147087926.18632767,8147.335934956984,28.314313766891203,7.4604016720183814,-0.0016776105653043569,38760405.85381364,-147470538.34246832,2327.401984822331,29.294791200428822,7.655234715122449,0.08874172680195577,0.0,0.0,0.0,0.0,0.0,0.0
2028 Dec 31 14:07:33,2028 Dec 31 19:41:25,Total,2028 Dec 31 16:54:32,-25721591.200773526,144832948.4414535,-8055.896251543727,-29.80245839285467,-5.317741990201343,0.001633982266348076,-25778373.585294705,145206677.96990028,-5059.453139999302,-30.823473205391146,-5.518498068806983,-0.0944457570663251,0.0,0.0,0.0,0.0,0.0,0.0
2029 Jun 26 00:38:27,2029 Jun 26 06:11:16,Total,2029 Jun 26 03:24:49,11554505.568717865,-151618789.54381475,8489.106000361093,29.206232885568408,2.152228422667944,-0.0014652524868890547,11573065.14456787,-151991186.0580686,7634.356795507302,30.260159536220513,2.162069473123499,0.09569328282648203,0.0,0.0,0.0,0.0,0.0,0.0
