Begin time,End time,Eclipse type,Greatest eclipse time,EARTH_Position_X,EARTH_Position_Y,EARTH_Position_Z,EARTH_Velocity_X,EARTH_Velocity_Y,EARTH_Velocity_Z,MOON_Position_X,MOON_Position_Y,MOON_Position_Z,MOON_Velocity_X,MOON_Velocity_Y,MOON_Velocity_Z,SUN_Position_X,SUN_Position_Y,SUN_Position_Z,SUN_Velocity_X,SUN_Velocity_Y,SUN_Velocity_Z
2025 Mar 29 08:51:26,2025 Mar 29 12:44:29,Partial,2025 Mar 29 10:47:59,-147701754.8225574,-22257167.497572966,1996.5208995725,3.9564964897901813,-29.581306549312025,0.00044403249658601614,-147345907.18957177,-22211411.954846397,7893.740530878667,3.7968508309089337,-28.500054499973498,0.09943889323971267,0.0,0.0,0.0,0.0,0.0,0.0
2025 Sep 21 17:30:08,2025 Sep 21 21:54:20,Partial,2025 Sep 21 19:42:12,150135712.34310874,-3577710.2972216844,-552.696747506893,0.2262778595413387,29.68179802860348,-0.0005739846139177756,149739326.414878,-3560368.597695066,-6576.555181775637,0.1486782429060243,28.693131738794843,-0.09123346063813711,0.0,0.0,0.0,0.0,0.0,0.0
2026 Feb 17 09:57:34,2026 Feb 17 14:29:03,Annular,2026 Feb 17 12:13:21,-125902314.3257089,77473918.29355742,-3591.5464354494534,-16.10250989552349,-25.49286347505896,0.0003946241489623608,-125578390.97499165,77266276.83320068,-10504.292834135627,-15.587823012877701,-24.609033768247347,0.09357824349631376,0.0,0.0,0.0,0.0,0.0,0.0
2026 Aug 12 15:34:47,2026 Aug 12 19:58:36,Total,2026 Aug 12 17:46:40,115429515.86578251,-98259082.93167448,4825.829491014943,18.834171082963813,22.582004341237504,-0.00020832723844623486,115155155.87890227,-98015882.52383606,11260.775169676202,18.09603155670176,21.805928454965844,-0.09646213153437645,0.0,0.0,0.0,0.0,0.0,0.0
2027 Feb 06 12:59:44,2027 Feb 06 19:03:41,Annular,2027 Feb 06 16:01:44,-108152566.22870137,100331986.18383536,-5024.566875504778,-20.7523280367205,-21.959104702355894,0.0002567248982168251,-107863758.38753353,100050998.21623635,-7857.628544760718,-20.08755579697424,-21.24380785642865,0.09052123468145153,0.0,0.0,0.0,0.0,0.0,0.0
2027 Aug 02 07:31:48,2027 Aug 02 12:44:39,Total,2027 Aug 02 10:08:13,96480853.26884626,-117227683.30610043,6052.386916634773,22.527330496228128,18.82736852140338,4.557268986862779e-05,96261220.04467267,-116945786.16528563,7884.679115669484,21.661224035157414,18.154559452319692,-0.10137312320233696,0.0,0.0,0.0,0.0,0.0,0.0
2028 Jan 26 12:10:19,2028 Jan 26 18:12:10,Annular,2028 Jan 26 15:11:13,-85948317.83477935,119617672.17967017,-6284.250159193805,-24.686268857287413,-17.500402222187418,3.0613690879879056e-05,-85720180.44511212,119283215.73362274,-4762.621484545637,-23.874811034066646,-16.96568110194598,0.09001918940933244,0.0,0.0,0.0,0.0,0.0,0.0
2028 Jul 22 00:30:36,2028 Jul 22 05:25:57,Total,2028 Jul 22 02:58:18,74576238.94781305,-132437031.09789716,7086.002828311557,25.48407354336977,14.511873929136335,0.00023997102081891995,74405557.92681986,-132114974.2262408,4098.950827023664,24.549628969433755,13.976671314547492,-0.0985103278585995,0.0,0.0,0.0,0.0,0.0,0.0
2029 Jan 14 15:06:07,2029 Jan 14 19:26:57,Partial,2029 Jan 14 17:16:29,-60739257.66067313,134033197.92793225,-7287.393835224636,-27.629238668362117,-12.41159611244743,-0.0002712551676515587,-60585941.70685272,133675645.24890357,-1298.7572420602012,-26.683936866346958,-12.050920240145686,0.0923009918656055,0.0,0.0,0.0,0.0,0.0,0.0
2029 Jun 12 02:30:07,2029 Jun 12 05:48:35,Partial,2029 Jun 12 04:09:23,-23588534.8479599,-150068570.16992745,8481.728133594177,28.955879754598126,-4.738482318824508,0.0011996840401215095,-23522752.06746852,-149680303.65143633,17171.153108389375,27.965284680602597,-4.608853986431063,-0.08888013102207824,0.0,0.0,0.0,0.0,0.0,0.0
2029 Jul 11 14:32:27,2029 Jul 11 16:48:30,Partial,2029 Jul 11 15:40:31,50046968.87119597,-143610354.71391448,7916.922548162936,27.65756566573488,9.696420001558163,0.0003973324105818249,49925301.28182442,-143246826.07264224,-734.5478857368576,26.700666665257,9.325612573325216,-0.08996152339851027,0.0,0.0,0.0,0.0,0.0,0.0
2029 Dec 05 13:11:00,2029 Dec 05 17:04:00,Partial,2029 Dec 05 15:07:29,42305170.14124367,141220603.81282598,-8101.817045233263,-29.03338253672631,8.441682343650374,-0.0014985494738023798,42195618.3514525,140877347.87616557,-15460.510447671755,-28.00401316295836,8.086734490241456,0.09606375457955842,0.0,0.0,0.0,0.0,0.0,0.0
2030 Jun 01 03:39:50,2030 Jun 01 09:26:34,Annular,2030 Jun 01 06:33:12,-51006959.763675995,-142858869.65052965,8275.820290705095,27.58158312410374,-10.132199226559957,0.0014984079051741255,-50862037.68939015,-142479434.40047312,12719.112682002022,26.67516031205601,-9.792439772367263,-0.08755548559554296,0.0,0.0,0.0,0.0,0.0,0.0
2030 Nov 25 04:23:05,2030 Nov 25 09:30:27,Total,2030 Nov 25 06:56:47,68026707.29488151,131081409.76307935,-7718.99235738622,-26.936996350861317,13.616923844386609,-0.0018453569446457224,67853710.83520736,130768006.96580341,-11050.798023439196,-25.970980741468303,13.10077697893297,0.09932936433313326,0.0,0.0,0.0,0.0,0.0,0.0
2031 May 21 04:20:56,2031 May 21 10:22:02,Annular,2031 May 21 07:21:27,-76657735.86251642,-130553698.6247771,7779.340357204663,25.21413120622923,-15.20145657136427,0.0018206160636835271,-76446756.72404008,-130213988.56759019,7468.827742363112,24.394790451648767,-14.65707970425151,-0.08918980822658977,0.0,0.0,0.0,0.0,0.0,0.0
2031 Nov 14 18:31:53,2031 Nov 14 23:57:26,Hybrid,2031 Nov 14 21:14:42,91490548.1858382,116345386.20262806,-7069.095422097201,-23.911109335187636,18.31060054981564,-0.0020816349589266796,91253057.67669003,116059208.22339724,-6014.4646080890425,-23.070562239442403,17.66977891098518,0.09541488910537527,0.0,0.0,0.0,0.0,0.0,0.0
2032 May 09 11:17:47,2032 May 09 15:48:22,Annular,2032 May 09 13:33:02,-99066461.89251521,-114016757.24588749,7028.417693018823,22.011605534065996,-19.658476466890193,0.002136083501311795,-98810730.70557334,-113735179.51108564,1811.1496864422127,21.276378722984827,-18.931458557862843,-0.09273111177661589,0.0,0.0,0.0,0.0,0.0,0.0
2032 Nov 03 03:34:07,2032 Nov 03 07:53:54,Partial,2032 Nov 03 05:44:03,112158918.27385703,97172494.59399052,-6161.879156904986,-19.998892298165035,22.412526208269956,-0.0022492027191870555,111856903.87883584,96921226.39363155,-63.00536476976601,-19.326872587067967,21.669434751213227,0.08825229874641664,0.0,0.0,0.0,0.0,0.0,0.0
2033 Mar 30 16:07:55,2033 Mar 30 20:12:49,Total,2033 Mar 30 18:10:22,-147203542.65287083,-25680458.805885147,2174.7540656543874,4.637208470211633,-29.47069891445709,0.00283435564574239,-146850187.8122086,-25625850.90608017,9037.674828951394,4.480872797144721,-28.38549763211252,-0.09617315407623835,0.0,0.0,0.0,0.0,0.0,0.0
2033 Sep 23 11:58:26,2033 Sep 23 16:11:57,Partial,2033 Sep 23 14:05:11,150099155.1805912,1060633.8784747135,-790.8546979730706,-0.6945728208517772,29.68927485320133,-0.0027275297192695847,149693628.89862943,1063813.676542272,-8718.940454503454,-0.7158658808360092,28.719720244409956,0.08468821761987586,0.0,0.0,0.0,0.0,0.0,0.0
2034 Mar 20 07:51:30,2034 Mar 20 13:06:40,Total,2034 Mar 20 10:29:07,-148969474.51282567,1550508.3447916224,698.8016026925491,-0.7944769528579564,-29.91230631516443,0.002905434543085557,-148607970.09054494,1537347.8039757267,3414.2143346675634,-0.7831501855113948,-28.827740345687147,-0.09745507943249791,0.0,0.0,0.0,0.0,0.0,0.0
2034 Sep 12 13:39:29,2034 Sep 12 19:23:10,Annular,2034 Sep 12 16:31:16,148036731.40821952,-27439977.43928604,772.5968959569932,4.947942135344313,29.191149552449268,-0.0027878276535351415,147653763.94903663,-27359522.802060816,-2598.5506573128964,4.700075813557364,28.21659532283999,0.08935295674571132,0.0,0.0,0.0,0.0,0.0,0.0
