Begin time,End time,Eclipse type,Greatest eclipse time,EARTH_Position_X,EARTH_Position_Y,EARTH_Position_Z,EARTH_Velocity_X,EARTH_Velocity_Y,EARTH_Velocity_Z,MOON_Position_X,MOON_Position_Y,MOON_Position_Z,MOON_Velocity_X,MOON_Velocity_Y,MOON_Velocity_Z,SUN_Position_X,SUN_Position_Y,SUN_Position_Z,SUN_Velocity_X,SUN_Velocity_Y,SUN_Velocity_Z,JUPITER_Position_X,JUPITER_Position_Y,JUPITER_Position_Z,JUPITER_Velocity_X,JUPITER_Velocity_Y,JUPITER_Velocity_Z,VENUS_Position_X,VENUS_Position_Y,VENUS_Position_Z,VENUS_Velocity_X,VENUS_Velocity_Y,VENUS_Velocity_Z
2025 Mar 29 08:51:30,2025 Mar 29 12:44:33,Partial,2025 Mar 29 10:48:02,-147697981.51089343,-22257051.813905895,2079.700104025164,3.958119539494464,-29.58134937662092,0.0005047781350815664,-147342134.64942896,-22211295.166452046,7977.090831375487,3.798469098692437,-28.500095780700242,0.09950057636922413,0.0,0.0,0.0,0.0,0.0,0.0,59190432.022441074,762441071.1584281,-4491653.592200392,-13.19093368705276,1.6262035926754328,0.28833641835755197,-105124839.62011246,-23370538.89014839,5744608.686994935,7.374719290225902,-34.344771978852755,-0.8973065064477125
2025 Sep 21 17:32:48,2025 Sep 21 21:56:34,Partial,2025 Sep 21 19:44:38,150135959.86527565,-3525602.7012923067,-510.26143987523534,0.21786263380523102,29.681567055616256,-0.0006600122152854394,149739562.39821813,-3508409.575895963,-6548.399831107627,0.14064498603796094,28.692883853090077,-0.09131392464314622,0.0,0.0,0.0,0.0,0.0,0.0,-141552339.32236534,761116394.4740375,4690.0783845928645,-13.009726554197412,-1.7784165369883702,0.2984316260086624,-43889000.38991612,98061662.81719588,3879584.300927802,-32.0845509762453,-14.503667392691714,1.6520219053215612
2026 Feb 17 09:58:47,2026 Feb 17 14:30:27,Annular,2026 Feb 17 12:14:40,-125917017.04979232,77449636.90974744,-3857.1422219722567,-16.09651318406861,-25.496240618177307,0.00047548527375903496,-125593059.39652258,77242053.89047101,-10763.08138399816,-15.581980360933606,-24.6123134503022,0.0936644939525985,0.0,0.0,0.0,0.0,0.0,0.0,-304090056.95228153,720720258.8789567,3808610.902939408,-12.201218542965456,-4.472240117790964,0.2915329402296867,107549450.7671859,-14877254.994273586,-6409937.243221794,4.6336622910907765,34.531782603060236,0.20705627900242268
2026 Aug 12 15:37:47,2026 Aug 12 20:02:01,Total,2026 Aug 12 17:49:52,115471842.95592313,-98196723.9678155,5116.394101492622,18.825288974191817,22.5914098761152,-0.00029079465206343833,115197367.20985544,-97953645.61060122,11535.098840114035,18.087514072935967,21.81500889057431,-0.09655708637172139,0.0,0.0,0.0,0.0,0.0,0.0,-478306359.4197327,630545031.6984457,8080651.255361817,-10.570564610045803,-7.29291870192634,0.2667708487268036,10277145.569628533,-108287577.21997538,-2080726.1598739899,34.63088846207465,3.183250501538345,-1.9544323459742805
2027 Feb 06 13:02:49,2027 Feb 06 19:06:53,Annular,2027 Feb 06 16:04:54,-108196353.57120176,100279694.74726278,-5632.192823669104,-20.74185243022602,-21.969990091667615,0.0003843698418629805,-107907422.76793726,99998838.93815936,-8447.030985765885,-20.077405194114544,-21.254377597425457,0.09065479120091505,0.0,0.0,0.0,0.0,0.0,0.0,-624201072.9374844,499976010.90382606,11886903.122253228,-8.326822071532279,-9.597076951698407,0.22614560937798373,-100799186.30114093,-38240283.225575626,5290514.8258060925,12.187108961675705,-32.904604970245224,-1.1554049694448338
2027 Aug 02 07:35:42,2027 Aug 02 12:48:37,Total,2027 Aug 02 10:12:09,96554471.60840937,-117161361.87095088,6822.362812482517,22.51568389920916,18.84209249129526,-7.597552723453224e-05,96334657.90332228,-116879605.37770745,8631.581366059314,21.650000476880134,18.16873985497428,-0.10150208080808334,0.0,0.0,0.0,0.0,0.0,0.0,-731477345.5544395,339927525.5641027,14951704.51427083,-5.662396581923206,-11.249546247865865,0.17341239488269633,-58609978.66083079,89983147.16328414,4618435.408726493,-29.463566010253324,-19.307131609450845,1.4346692994592654
2028 Jan 26 12:14:42,2028 Jan 26 18:16:19,Annular,2028 Jan 26 15:15:29,-86026251.2439005,119559599.98103781,-7108.208697714002,-24.674341801352295,-17.517471229055573,0.00016485438731716332,-85797887.77663796,119225293.0134313,-5558.916413588657,-23.863264555827854,-16.982191884416938,0.09015387255693791,0.0,0.0,0.0,0.0,0.0,0.0,-795887260.9931908,159422208.672621,17142493.513879396,-2.7201870046135097,-12.212738559002517,0.11159157383111365,74506456.900273,78313430.03040916,-3222556.832958125,-25.47891605082194,23.990612529381465,1.7998453910780146
2028 Jul 22 00:35:18,2028 Jul 22 05:30:17,Total,2028 Jul 22 03:02:49,74677911.91248366,-132373577.28660008,8201.263293550395,25.47296397544274,14.533011292011707,0.00010666486056376232,74506975.05532266,-132051668.15324241,5184.006565561716,24.53892163693584,13.997048041212459,-0.09863982775710729,0.0,0.0,0.0,0.0,0.0,0.0,-814180283.6944293,-30694229.681156233,18341551.032526623,0.3403981130312454,-12.457995378788878,0.04414251766099262,95345423.18524632,-52236877.813964345,-6219379.321859678,16.622319239300996,30.567940117182843,-0.5388909543329335
2029 Jan 14 15:12:18,2029 Jan 14 19:32:02,Partial,2029 Jan 14 17:22:07,-60866788.64113176,133977787.5129366,-8521.174683510017,-27.6167763085065,-12.43694507286933,-0.00015568670274942879,-60713102.39059877,133620375.8336415,-2492.407005957583,-26.671889070075398,-12.075307725245938,0.09240334325704112,0.0,0.0,0.0,0.0,0.0,0.0,-785925717.0462499,-218119876.58231807,18488115.04816934,3.34390822588901,-11.991308662050207,-0.02499502597237602,-27757475.628427,-104995735.06785147,158183.58383910777,33.62309572189401,-9.097456888709715,-2.06507897070539
2029 Jun 12 02:34:39,2029 Jun 12 05:54:49,Partial,2029 Jun 12 04:14:47,-23450218.1198315,-150085667.2573484,10022.86739068095,28.960727241133043,-4.711613844833864,0.001252889928097449,-23384743.63733505,-149697360.70869672,18681.212200692436,27.969998448605594,-4.582781056956878,-0.08885679328295625,0.0,0.0,0.0,0.0,0.0,0.0,-727538741.034724,-366535361.21464384,17798530.234821353,5.729913169003324,-11.069446952161961,-0.08219374536349403,-72362488.18823312,79286863.9304376,5265235.881000672,-25.99139677437987,-23.797202484414274,1.172523953940523
